8;;1/1679616
9;;1/209952
10;;1/46656
11;;5/69984
12;;55/279936
13;;11/23328
14;;427/419904
15;;421/209952
16;;683/186624
17;;655/104976
18;;2101/209952
19;;59/3888
20;;2293/104976
21;;3143/104976
22;;457/11664
23;;5149/104976
24;;98813/1679616
25;;1579/23328
26;;31397/419904
27;;16661/209952
28;;7553/93312
29;;16661/209952
30;;31397/419904
31;;1579/23328
32;;98813/1679616
33;;5149/104976
34;;457/11664
35;;3143/104976
36;;2293/104976
37;;59/3888
38;;2101/209952
39;;655/104976
40;;683/186624
41;;421/209952
42;;427/419904
43;;11/23328
44;;55/279936
45;;5/69984
46;;1/46656
47;;1/209952
48;;1/1679616
