3;;23/5000
4;;139/10000
5;;139/5000
6;;463/10000
7;;347/5000
8;;486/5000
9;;579/5000
10;;1/8
11;;1/8
12;;579/5000
13;;486/5000
14;;347/5000
15;;463/10000
16;;139/5000
17;;139/10000
18;;23/5000
