9;;1/10077696
10;;1/1119744
11;;5/1119744
12;;55/3359232
13;;55/1119744
14;;143/1119744
15;;499/1679616
16;;353/559872
17;;1385/1119744
18;;22825/10077696
19;;4367/1119744
20;;7111/1119744
21;;32993/3359232
22;;16211/1119744
23;;2855/139968
24;;11561/419904
25;;39941/1119744
26;;49741/1119744
27;;536569/10077696
28;;7649/124416
29;;8515/124416
30;;82291/1119744
31;;1579/20736
32;;1579/20736
33;;82291/1119744
34;;8515/124416
35;;7649/124416
36;;536569/10077696
37;;49741/1119744
38;;39941/1119744
39;;11561/419904
40;;2855/139968
41;;16211/1119744
42;;32993/3359232
43;;7111/1119744
44;;4367/1119744
45;;22825/10077696
46;;1385/1119744
47;;353/559872
48;;499/1679616
49;;143/1119744
50;;55/1119744
51;;55/3359232
52;;5/1119744
53;;1/1119744
54;;1/10077696
