7;;1/279936
8;;7/279936
9;;7/69984
10;;7/23328
11;;35/46656
12;;77/46656
13;;917/279936
14;;1667/279936
15;;2807/279936
16;;4417/279936
17;;3269/139968
18;;4571/139968
19;;4039/93312
20;;5089/93312
21;;6109/93312
22;;20993/279936
23;;22967/279936
24;;24017/279936
25;;24017/279936
26;;22967/279936
27;;20993/279936
28;;6109/93312
29;;5089/93312
30;;4039/93312
31;;4571/139968
32;;3269/139968
33;;4417/279936
34;;2807/279936
35;;1667/279936
36;;917/279936
37;;77/46656
38;;35/46656
39;;7/23328
40;;7/69984
41;;7/279936
42;;1/279936
